이름,위치,지역,별점,간단한설명,링크
그린커리프레젠트,제주 제주시 구좌읍 일주동로 2251 1층,구좌읍,별점없음, 카오카무,https://naver.me/G2VySfm9
만월당,제주 제주시 구좌읍 월정1길 56, 구좌읍, 4.59, 전복리조또, https://naver.me/GxORc1Cl
제주삼다장 구좌월정리세화비자림,제주 제주시 구좌읍 비자숲길 15 구좌 월정 세화리 제주삼다장, 구좌읍, 4.62,삼다장 세트,https://naver.me/5FeZEwi0
공간움놀깨,제주 제주시 구좌읍 송당동2길 39, 구좌읍, 4.61,제주통밀 한우버거,https://naver.me/GEAkuZtm
피쉬어바웃, 제주 제주시 구좌읍 해맞이해안로 518 월정스캔들건물 1층, 구좌읍, 별점없음, 피쉬앤칩스, https://naver.me/5wmXNj9k
월정국수, 제주 제주시 구좌읍 월정3길 6, 구좌읍, 4.49, 고기국수, https://naver.me/Gtt11asQ
제주신도시, 제주 제주시 구좌읍 해맞이해안로 480-1 머먹젠 제주신도시, 구좌읍,  별점없음, 김밥, https://naver.me/xLENTooI
갈치요리전문점 만족한상회,제주 서귀포시 중문상로 58-5, 중문, 4.84,갈치요리,https://naver.me/GD5iJiXA
산지해장국,제주 제주시 임항로 34, 제주시, 4.47, 해장국, https://naver.me/FFvilBF6
훈남횟집,제주 제주시 조천읍 함덕13길7 1층, 조천읍, 4.48,회,https://naver.me/5oQi4xjl
소금바치순이네,제주 제주시 구좌읍 해제주 서귀포시 중문관광로 16 1층맞이해안로 2196, 구좌읍, 4.5,돌문어요리,https://naver.me/5PS2RWY8
월정리갈비밥,제주 제주시 구좌읍 월정7길 46, 구좌읍, 4.43, 제주흑돼지양념구이,https://naver.me/58HFOk5P
피어22, 제주 제주시 한림읍 금능7길 22, 제주시, 4.48, 양식, https://naver.me/FcagTe1i
한림칼국수 제주본점, 제주 제주시 한림읍 한림해안로 139, 한림읍, 4.48, 칼국수, https://naver.me/GY2TiTkT
경미네집, 제주 서귀포시 성산읍 일출로 259, 성산읍, 4.19, 한식, https://naver.me/5FeZxyr4
국수마당 본점, 제주 제주시 삼성로 65 국수마당 본점, 제주시, 4.33, 국수, https://naver.me/GeW5NnZF
스시아카리, 제주 서귀포시 칠십리로 135 2층, 서귀포시, 4.67, 오션뷰 오마카세, https://naver.me/xPIp1gJ5
회심, 제주 제주시 아봉로 200 1층,제주시, 4.68, 고등어소바, https://naver.me/xDs6YUKm
두엔데, 제주 서귀포시 안덕면 덕수동로 27 1층,서귀포시, 4.91, 자연주의 레스토랑, https://naver.me/5X9rilJA
꼬라지오, 제주 서귀포시 일주동로 8777, 서귀포시, 4.87, 발달장애 청년들이 만드는 브런치, https://naver.me/xVl3RRRf
보름숲 서귀포중문점, 제주 서귀포시 1100로 255, 서귀포시, 별점없음, 훈제 흑돼지 전문점, https://naver.me/xoK1HET1
두리둠비, 제주 서귀포시 중문관광로 16 1층, 서귀포시, 4.73, 두리둠비 순두부, https://naver.me/5Rcb4XPl
달팽이식당, 제주 서귀포시 안덕면 일주서로 1322-1, 서귀포시, 4.69, 청국장-석쇠구이 한상, https://naver.me/GSiUkMEE
하갈비국수, 제주 제주시 애월읍 애월북서길 54, 제주시, 4.35, 애월만찬, https://naver.me/GBf5ZbuC
돈어길, 제주 서귀포시 대정읍 중산간서로 2274 C동 1층, 서귀포시, 4.97, 21일 숙성 제주흑돈 삼겹, https://naver.me/GZAKA5SR
성산 타쿠마스시, 제주 서귀포시 성산읍 섭지코지로 15, 성산읍, 4.43, 일출봉슈토아에, https://naver.me/xlWCJHmc
모루쿠다, 제주 서귀포시 태평로431번길 32 1층 , 서귀포시, 4.84, 생선회, https://naver.me/xkxqqKoM
미친부엌, 제주 제주시 탑동로 15 12층, 제주시, 4.48, 이자카야, https://naver.me/xNdldJjR
고등어딱새우회관 애월밤바다, 제주 제주시 애월읍 하귀3길 22 1층, 제주시,별점없음, 고등어회 한상, https://naver.me/xOm
성산 타쿠마스시, 제주 서귀포시 성산읍 섭지코지로 15, 성산읍, 4.43, 일출봉슈토아에, https://naver.me/xlWCJHmc
희신이네, 제주 서귀포시 서홍동 1651-1, 서귀포시, 4.1,닭고기 냉밀면,  https://naver.me/x35iFG7Z
회가서쪽에서뜨겠네, 제주 제주시 애월읍 애월로 12 1층, 애월읍, 4.66, 딱새우회, https://naver.me/59jUqIoV
사형제횟집, 제주 제주시 한림읍 한림상로 273 사형제횟집, 한림읍, 4.18, 생선회, https://naver.me/FhAd6KmB
복자씨연탄구이, 제주 서귀포시 성산읍 해맞이해안로 2764, 서귀포시, 별점없음, 돼지고기구이, https://naver.me/5iz06hu3
온평바다한그릇, 제주 서귀포시 성산읍 환해장성로 467, 성산읍, 별점없음, 해물모듬, https://naver.me/5Y1wrjZu
513텐동, 제주 제주시 테우해안로 46 2층, 제주시, 별점없음, 텐동, https://naver.me/I5FcYlqq
몬스터살롱, 제주 제주시 애월읍 일주서로 6017, 애월읍, 4.48, 햄버거, https://naver.me/Fk5db3tE
노라바, 제주 제주시 애월읍 구엄길 100, 애월읍, 별점없음, 라면, https://naver.me/x8liGoVh
트라몬토, 제주 서귀포시 대정읍 하모항구로 38 트라몬토,대정읍, 4.86, 스파게티, https://naver.me/FrKllGjk
명당양과, 제주 제주시 원노형로 83, 제주시, 별점없음, 베이커리, https://naver.me/G7KH9lzM 
한끼 맛있다, 제주 제주시 광양14길 2 2층, 제주시, 4.2, 파스타, https://naver.me/xiv55ekU
대윤흑돼지, 제주 서귀포시 서문로 23, 서귀포시, 4.63, 흑돼지, https://naver.me/FcagN4cu
중문수원음식점, 제주 서귀포시 천제연로 83, 서귀포시, 4.54, 갈치조림, https://naver.me/5Y1wooxO
피즈 노형, 제주 제주시 노형10길 6 1층, 제주시, 별점없음, 햄버거, https://naver.me/5jYJ90Ma
문쏘, 제주 제주시 한림읍 한림상로 15-5,제주시,별점없음, 카레, https://naver.me/5JJQJmdv
순천미향,제주 서귀포시 안덕면 사계남로216번길 24-73,서귀포시,4.69,삼합,https://naver.me/xoK9oZXI
함덕 문개항아리 조천본점, 제주 제주시 조천읍 조함해안로 217-1, 제주시, 4.79, 라면전문,https://naver.me/5ncPcxZF
흑돼지BBQ,제주 서귀포시 태평로353번길 7 1층,서귀포시,4.65,흑돼지,https://naver.me/xSnUMkEl
명호돗갈비, 제주 서귀포시 안덕면 대평로 51 1층, 안덕면, 별점없음, 돗갈비, https://naver.me/5ZvBQsZp
아솥, 제주 서귀포시 동홍로303번길 13, 서귀포시, 별점없음, 글램핑 솥뚜껑, https://naver.me/FR1P6LV2
한라봉스시, 제주 제주시 애월읍 애월북서길 54 2층, 애월읍, 별점없음, 계단초밥,  https://naver.me/Gfa5SU7Y
반디파스타, 제주 제주시 조천읍 조함해안로 528 3층, 조천읍, 4.9, 스파게티, https://naver.me/x2PkE7iU
해오반, 제주 제주시 애월읍 고내로9길 1 1층, 애월읍, 4.53, 해물비빔밥, https://naver.me/GkKy5mhY
맛나식당, 제주 서귀포시 성산읍 동류암로 41, 서귀포시, 4.46, 한식, https://naver.me/xGOiK8MZ
모들한상,제주 제주시 애월읍 하가로 180,애월읍,4.71,양식,https://naver.me/xYTVzKQD
성산봄죽칼국수, 제주 서귀포시 성산읍 해맞이해안로 2725, 성산읍, 4.59, 칼국수 보말죽, https://naver.me/FeOCJTmR
물꼬해녀의집, 제주 제주시 우도면 우도해안길 496, 우도면, 4.62, 문어라면, https://naver.me/GNyUGInv
돈이랑, 제주 서귀포시 일주서로 953, 서귀포시, 4.68, 흑돼지, https://naver.me/GAi6nmVd
Jimmys natural icecream, 제주 제주시 우도면 우도해안길 1132, 우도면, 4.37, 땅콩 아이스크림, https://naver.me/GpJeajit
이드레, 제주 제주시 구좌읍 해맞이해안로 402, 구좌읍, 4.91, 아이스크림, https://naver.me/xM2jxKZV
우동카덴, 제주 제주시 조천읍 교래3길 23, 조천읍, 별점없음, 우동, https://naver.me/54VSITul
달사막, 제주 제주시 조천읍 함덕로 26, 조천읍, 4.46, 달카츠, https://naver.me/GWFrFilR
후프바베큐, 제주 제주시 애월읍 애월북서길 69, 애월읍, 별점없음, 바베큐, https://naver.me/GuGjbKvu
만월당, 제주 제주시 구좌읍 월정1길 56, 구좌읍, 4.59, 리조또, https://naver.me/5Amfu8yj
협재 면차롱, 제주 제주시 한림읍 한림로 380, 한림읍, 4.51, 짜장 짬뽕, https://naver.me/GozD8jtd
오드씽, 제주 제주시 고다시길 25, 제주시, 4.65, 파스타, https://naver.me/xC6HUDim
시루애월, 제주 제주시 애월읍 하소로 449, 애월읍, 4.39, 브런치, https://naver.me/57wrhENM
로뎀가든, 제주 제주시 우도면 우도해안길 264, 제주시, 4.74, 한식, https://naver.me/FGoE2d8c
풍원, 제주 제주시 우도면 우도해안길 340 풍원, 제주시, 4.68, 한정식, https://naver.me/FfMsgl2g
